"","name","par_strategy","nproc","time","generator","r","id","avg_card","date","duration","iteration","perc_minimal","size","size_minimal","mhspersec","totaltime"
"1","mhs","Random",1,1e+06,"mhs_random_1_1000000",25,2039477550.93,12.818067925,3961,1.21602628,50.5,0.97824239608,20070.99,19691.3699902971,16505.3916433451,1.21602628
"2","mhs","Random",1,1.6e+07,"mhs_random_1_16000000",25,2200303811.7,12.966163811,3965,16.41647331,50.5,0.96921006556,49783.62,48363.9800526521,3032.54048905099,16.41647331
"3","mhs","Random",1,2e+06,"mhs_random_1_2000000",25,1924551647.56,12.901642657,3962,2.35124367,50.5,0.9729028899,33066.01,32206.3000549372,14063.20000853,2.35124367
"4","mhs","Random",1,4e+06,"mhs_random_1_4000000",25,2174562968.11,12.93229119,3963,4.326557,50.5,0.97115369975,37409.37,36355.5999019628,8646.45259498488,4.326557
"5","mhs","Random",1,8e+06,"mhs_random_1_8000000",25,2136333246.02,12.950580158,3964,8.446251,50.5,0.96982548777,41856.62,40642.2900406901,4955.6448180382,8.446251
"6","mhs","Random",2,1e+06,"mhs_random_2_1000000",25,2303622916.66,12.917791983,3966,1.43528611,50.5,0.98295224969,48377.02,47591.8200738301,16852.7444329549,2.87057222
"7","mhs","Random",2,1.6e+07,"mhs_random_2_16000000",25,2005324691.19,12.999517968,3970,16.80886824,50.5,0.97554988979,95059.1,92797.6599247409,2827.64724676074,33.61773648
"8","mhs","Random",2,2e+06,"mhs_random_2_2000000",25,2368613470.94,12.951591689,3967,2.52446272,50.5,0.97854816974,67178.5,65754.8299376099,13305.5044678972,5.04892544
"9","mhs","Random",2,4e+06,"mhs_random_2_4000000",25,1953110503.38,12.963696822,3968,4.64977536,50.5,0.97707895336,73244.67,71572.9700174897,7876.15146207837,9.29955072
"10","mhs","Random",2,8e+06,"mhs_random_2_8000000",25,2016382199.7,12.978231341,3969,8.63571079,50.5,0.97608759882,81100.98,79189.2199287314,4695.67485365035,17.27142158
"11","mhs","Random",3,1e+06,"mhs_random_3_1000000",25,2331770683.55,12.936273809,3971,1.53842386,50.5,0.98239564714,74221.63,72984.039986239,16081.7470247331,4.61527158
"12","mhs","Random",3,1.6e+07,"mhs_random_3_16000000",25,2079836830.61,13.007349957,3975,17.15060714,50.5,0.97588397268,148157.64,144772.100245668,2879.54120789219,51.45182142
"13","mhs","Random",3,2e+06,"mhs_random_3_2000000",25,2067898035.73,12.959352863,3972,2.82158357,50.5,0.97885923207,100187.3,98132.7401052794,11835.8240463764,8.46475071
"14","mhs","Random",3,4e+06,"mhs_random_3_4000000",25,1985514508.11,12.972137861,3973,4.91702117,50.5,0.97703121485,113266.63,110727.169985886,7678.53991837366,14.75106351
"15","mhs","Random",3,8e+06,"mhs_random_3_8000000",25,2153518247.73,12.984616828,3974,9.01249595,50.5,0.97639698979,125234.17,122386.739736321,4631.87152204305,27.03748785
"16","mhs","Random",4,1e+06,"mhs_random_4_1000000",25,2348848897.62,12.939000872,3976,1.74745139,50.5,0.98455825208,100220.19,98691.6300719951,14338.0512003827,6.98980556
"17","mhs","Random",4,1.6e+07,"mhs_random_4_16000000",25,2154828379.93,13.015156928,3980,17.42568844,50.5,0.97691047727,183133.15,178951.559562565,2627.34454696815,69.70275376
"18","mhs","Random",4,2e+06,"mhs_random_4_2000000",25,2094118376.67,12.95965467,3977,3.05349522,50.5,0.98127365652,131261.5,128810.330315611,10746.8237661102,12.21398088
"19","mhs","Random",4,4e+06,"mhs_random_4_4000000",25,2118206224.07,12.969611887,3978,5.15019051,50.5,0.97974624037,143856.89,140954.820176168,6983.08585481821,20.60076204
"20","mhs","Random",4,8e+06,"mhs_random_4_8000000",25,2265639574.3,12.984633637,3979,9.21930036,50.5,0.97821732583,158497.53,155059.420170042,4297.98151190727,36.87720144
"21","mhs","Random",5,1e+06,"mhs_random_5_1000000",25,2043553812.28,12.941394996,3981,1.93484327,50.5,0.98434414681,123043.82,121153.110457618,12718.737678427,9.67421635
"22","mhs","Random",5,1.6e+07,"mhs_random_5_16000000",25,2129941000.12,13.007832788,3985,17.81843732,50.5,0.97675067176,236274.98,230890.75934537,2652.02807358193,89.0921866
"23","mhs","Random",5,2e+06,"mhs_random_5_2000000",25,1943750130.37,12.959593671,3982,3.25641075,50.5,0.98060624477,165120.85,161941.740250483,10141.2790140187,16.28205375
"24","mhs","Random",5,4e+06,"mhs_random_5_4000000",25,2238488859.15,12.969072201,3983,5.41622318,50.5,0.97904993419,184404.54,180599.240649344,6809.34052647365,27.0811159
"25","mhs","Random",5,8e+06,"mhs_random_5_8000000",25,2207494482.92,12.983522253,3984,9.56832731,50.5,0.97774302121,205446.99,200971.870319374,4294.31358990582,47.84163655
"26","mhs","Random",6,1e+06,"mhs_random_6_1000000",25,2292382146.82,12.949267237,3986,2.09766574,50.5,0.98471728332,150929.02,148662.699873861,11991.8231904129,12.58599444
"27","mhs","Random",6,1.6e+07,"mhs_random_6_16000000",25,2334410918.5,13.016829246,3990,18.02482933,50.5,0.97762887067,271311.03,265353.299441672,2508.67867718113,108.14897598
"28","mhs","Random",6,2e+06,"mhs_random_6_2000000",25,2214457597.39,12.965065249,3987,3.51553219,50.5,0.98160896417,196737.52,193155.180040366,9327.06199076694,21.09319314
"29","mhs","Random",6,4e+06,"mhs_random_6_4000000",25,2009979294.51,12.975211223,3988,5.65203362,50.5,0.98005158662,217491.26,213191.200339808,6413.36300708936,33.91220172
"30","mhs","Random",6,8e+06,"mhs_random_6_8000000",25,1917260244.19,12.988218563,3989,9.8237161,50.5,0.9789371991,238283.04,233337.409990165,4042.64940026107,58.9422966
"31","mhs","Random",7,1e+06,"mhs_random_7_1000000",25,2244258526.91,12.944722581,3991,2.23417937,50.5,0.98536797104,166120.82,163735.609361004,10622.0413781216,15.63925559
"32","mhs","Random",7,1.6e+07,"mhs_random_7_16000000",25,2172403088.72,13.005824408,3995,18.384563,50.5,0.97843299448,317058.84,310385.500493852,2463.70392377562,128.691941
"33","mhs","Random",7,2e+06,"mhs_random_7_2000000",25,2120815229.41,12.963954714,3992,3.70348234,50.5,0.98162469865,233209.16,228975.000176044,8995.74811681545,25.92437638
"34","mhs","Random",7,4e+06,"mhs_random_7_4000000",25,2095535065.24,12.972049948,3993,5.95483197,50.5,0.98024372936,258531.82,253480.459951787,6202.2097901206,41.68382379
"35","mhs","Random",7,8e+06,"mhs_random_7_8000000",25,1911677959.42,12.982635178,3994,10.09561385,50.5,0.97957162558,281160.7,275538.800083441,3978.54106570392,70.66929695
"36","mhs","Random",8,1e+06,"mhs_random_8_1000000",25,2177886923.68,12.955794426,3996,2.42684761,50.5,0.98632620397,201268.91,198534.720000571,10366.787616302,19.41478088
"37","mhs","Random",8,1.6e+07,"mhs_random_8_16000000",25,2262090935.59,13.032208611,4000,18.59303027,50.5,0.9789629787,348944.19,341712.059398483,2345.9341009291,148.74424216
"38","mhs","Random",8,2e+06,"mhs_random_8_2000000",25,2198395283.28,12.969195942,3997,3.93110572,50.5,0.98348315535,253270.37,249129.739694544,8053.40749014504,31.44884576
"39","mhs","Random",8,4e+06,"mhs_random_8_4000000",25,1993498882.85,12.980642251,3998,6.08414324,50.5,0.98180109262,280096.4,275036.569959654,5754.63933357361,48.67314592
"40","mhs","Random",8,8e+06,"mhs_random_8_8000000",25,2232583769.48,12.998419393,3999,10.30956574,50.5,0.98033335928,304843.21,298914.978784588,3696.12088530123,82.47652592
"41","mhs","Stride",1,1e+06,"mhs_stride_1_1000000",25,2270385256.72,12.836214462,4001,1.17523788,50.5,0.97721386495,22554.72,22093.6100148795,19191.6210188868,1.17523788
"42","mhs","Stride",1,1.6e+07,"mhs_stride_1_16000000",25,2301475554.76,12.966366578,4005,16.3898733,50.5,0.96917955636,50650.6,49220.6698992155,3090.35945994775,16.3898733
"43","mhs","Stride",1,2e+06,"mhs_stride_1_2000000",25,2269676223.7,12.903187591,4002,2.34990185,50.5,0.97273231093,32979.44,32117.0900999681,14034.390415072,2.34990185
"44","mhs","Stride",1,4e+06,"mhs_stride_1_4000000",25,2345337722.61,12.932684325,4003,4.27768699,50.5,0.97113045096,37407.47,36353.4399962403,8744.78896830177,4.27768699
"45","mhs","Stride",1,8e+06,"mhs_stride_1_8000000",25,2192694832.45,12.948928326,4004,8.41167511,50.5,0.97002635478,41627.99,40425.7899790364,4948.8347392913,8.41167511
"46","mhs","Stride",2,1e+06,"mhs_stride_2_1000000",25,2229167340.78,12.864321767,4006,1.36899515,50.5,0.98088045536,43854.04,43084.130023857,16016.8719370554,2.7379903
"47","mhs","Stride",2,1.6e+07,"mhs_stride_2_16000000",25,2175338183.07,12.964771633,4010,16.79095139,50.5,0.97310722535,96999.49,94489.6397708343,2888.44532233501,33.58190278
"48","mhs","Stride",2,2e+06,"mhs_stride_2_2000000",25,2270735626.72,12.922189111,4007,2.49774163,50.5,0.97579132199,66046.53,64503.380088742,13221.2493891932,4.99548326
"49","mhs","Stride",2,4e+06,"mhs_stride_2_4000000",25,2101381308.7,12.935417936,4008,4.6563875,50.5,0.97432802615,74209.92,72343.3900953982,7968.61515498871,9.312775
"50","mhs","Stride",2,8e+06,"mhs_stride_2_8000000",25,2268470077.23,12.948132842,4009,8.65232251,50.5,0.97350082157,83046.27,80890.0801400949,4799.07388472971,17.30464502
"51","mhs","Stride",3,1e+06,"mhs_stride_3_1000000",25,2028475395.77,12.897315318,4011,1.52902933,50.5,0.98125148649,71259.98,70010.8299704282,15534.905839031,4.58708799
"52","mhs","Stride",3,1.6e+07,"mhs_stride_3_16000000",25,2272203547.89,12.978537219,4015,17.13527687,50.5,0.97416161659,145953.46,142326.809988648,2839.23940665998,51.40583061
"53","mhs","Stride",3,2e+06,"mhs_stride_3_2000000",25,2010292367.62,12.937422036,4012,2.79847901,50.5,0.97715484198,98839.39,96644.5501763613,11772.9892615251,8.39543703
"54","mhs","Stride",3,4e+06,"mhs_stride_3_4000000",25,2338343362.3,12.949710762,4013,4.89974525,50.5,0.97541153487,113790.9,111047.010325347,7741.28001858872,14.69923575
"55","mhs","Stride",3,8e+06,"mhs_stride_3_8000000",25,2098609827.86,12.960986274,4014,8.96592357,50.5,0.97477782492,125757.44,122676.990281621,4675.38523381219,26.89777071
"56","mhs","Stride",4,1e+06,"mhs_stride_4_1000000",25,2263498325.93,12.902673018,4016,1.68789908,50.5,0.98227559146,92560.13,90979.2899100815,13709.3696976243,6.75159632
"57","mhs","Stride",4,1.6e+07,"mhs_stride_4_16000000",25,2200059456.15,12.983365161,4020,17.46972721,50.5,0.97445515816,190902.19,186198.159359611,2731.89998483096,69.87890884
"58","mhs","Stride",4,2e+06,"mhs_stride_4_2000000",25,2265421949.71,12.939580888,4017,3.01968698,50.5,0.97817325354,131260.7,128456.510068637,10867.0783486307,12.07874792
"59","mhs","Stride",4,4e+06,"mhs_stride_4_4000000",25,1913353430.44,12.951010189,4018,5.15530002,50.5,0.97624698109,148671.21,145204.569738143,7209.6293825398,20.62120008
"60","mhs","Stride",4,8e+06,"mhs_stride_4_8000000",25,2095872510.07,12.962885825,4019,9.27253956,50.5,0.97521652401,165577.27,161575.9003324,4464.18343455415,37.09015824
"61","mhs","Stride",5,1e+06,"mhs_stride_5_1000000",25,2082274318.23,12.91012639,4021,1.84204705,50.5,0.98276370942,116383.11,114457.089767502,12636.2798387804,9.21023525
"62","mhs","Stride",5,1.6e+07,"mhs_stride_5_16000000",25,2020761610.62,12.984362048,4025,17.75222909,50.5,0.9751197189,232214.61,226578.320148863,2616.17410211103,88.76114545
"63","mhs","Stride",5,2e+06,"mhs_stride_5_2000000",25,2381082674.4,12.944617795,4022,3.246125,50.5,0.97875471767,164539.4,161114.600575078,10137.5886634064,16.230625
"64","mhs","Stride",5,4e+06,"mhs_stride_5_4000000",25,2186527842.99,12.954769908,4023,5.40990875,50.5,0.97680697323,185398.53,181162.329940008,6854.03538460792,27.04954375
"65","mhs","Stride",5,8e+06,"mhs_stride_5_8000000",25,2192882235.06,12.965000915,4024,9.55435769,50.5,0.9759705025,203928.5,199134.209704294,4268.80605932182,47.77178845
"66","mhs","Stride",6,1e+06,"mhs_stride_6_1000000",25,1963316328.83,12.923747117,4026,2.07374887,50.5,0.98254068311,144657.67,142200.519713948,11626.0999658395,12.44249322
"67","mhs","Stride",6,1.6e+07,"mhs_stride_6_16000000",25,2183132693.78,12.982420138,4030,18.06985021,50.5,0.97561940129,273225.66,266705.500311916,2520.08785190699,108.41910126
"68","mhs","Stride",6,2e+06,"mhs_stride_6_2000000",25,2281131389.58,12.948269127,4027,3.50205412,50.5,0.97878473576,196856.48,192745.579780019,9368.61973261948,21.01232472
"69","mhs","Stride",6,4e+06,"mhs_stride_6_4000000",25,2197722721.87,12.956982764,4028,5.67746092,50.5,0.97705273629,221160.33,216149.659752203,6492.34851976753,34.06476552
"70","mhs","Stride",6,8e+06,"mhs_stride_6_8000000",25,2277336920.43,12.965613901,4029,9.81672885,50.5,0.97628758489,241564.91,235932.869457601,4101.24583743936,58.9003731
"71","mhs","Stride",7,1e+06,"mhs_stride_7_1000000",25,1959203448.27,12.927182361,4031,2.16940831,50.5,0.98295053905,158841.78,156211.699815526,10459.8487765279,15.18585817
"72","mhs","Stride",7,1.6e+07,"mhs_stride_7_16000000",25,1959767477.62,12.98829383,4035,18.37796198,50.5,0.97565596462,312125.98,304652.64910184,2426.24431168214,128.64573386
"73","mhs","Stride",7,2e+06,"mhs_stride_7_2000000",25,2053121796.14,12.952441136,4032,3.70331206,50.5,0.97907292072,230429.57,225670.749767133,8888.93765004508,25.92318442
"74","mhs","Stride",7,4e+06,"mhs_stride_7_4000000",25,2257090500.12,12.961059226,4033,5.90034534,50.5,0.97732548116,256556.15,250788.280636636,6211.64973564557,41.30241738
"75","mhs","Stride",7,8e+06,"mhs_stride_7_8000000",25,2296502412.17,12.970597322,4034,10.10035269,50.5,0.97650874135,278840.7,272385.250380762,3943.86086673234,70.70246883
"76","mhs","Stride",8,1e+06,"mhs_stride_8_1000000",25,2149127338.52,12.929373776,4036,2.36970795,50.5,0.98343902947,190625.85,187547.160206663,10055.3451111982,18.9576636
"77","mhs","Stride",8,1.6e+07,"mhs_stride_8_16000000",25,2077655686.08,12.987682717,4040,18.62348371,50.5,0.97649007319,354512.43,346316.360520072,2379.47177016109,148.98786968
"78","mhs","Stride",8,2e+06,"mhs_stride_8_2000000",25,2213972589.95,12.952434085,4037,3.98772027,50.5,0.9800535017,258168.32,253085.820205369,8092.60374725331,31.90176216
"79","mhs","Stride",8,4e+06,"mhs_stride_8_4000000",25,2180039185.38,12.961538399,4038,6.16596762,50.5,0.97809059678,290694.26,284381.379176028,5893.11925384389,49.32774096
"80","mhs","Stride",8,8e+06,"mhs_stride_8_8000000",25,2118178193.96,12.970260167,4039,10.39330604,50.5,0.97733297999,314408.88,307366.940632224,3781.38677421261,83.14644832
"81","mhs","Random",1,1e+06,"mhs_random_1_1000000",50,2249770625.99,6.9974685908,11961,1.15885679,50.5,0.99451672193,27650.63,27500.6999541699,23860.2649081428,1.15885679
"82","mhs","Random",1,1.6e+07,"mhs_random_1_16000000",50,2131585636.55,7.0769400935,11965,16.27773863,50.5,0.97048286258,81733.61,79502.3499969019,5021.18948201836,16.27773863
"83","mhs","Random",1,2e+06,"mhs_random_1_2000000",50,2336635313.14,7.0006395575,11962,2.34724967,50.5,0.9937921059,73835.75,73380.8801389242,31456.2830463621,2.34724967
"84","mhs","Random",1,4e+06,"mhs_random_1_4000000",50,2299896526.08,7.0107055335,11963,4.25690574,50.5,0.99086305559,76387.17,75730.6101468202,17944.2944395569,4.25690574
"85","mhs","Random",1,8e+06,"mhs_random_1_8000000",50,2122062941.29,7.0300471828,11964,8.36915353,50.5,0.98481335938,77770.14,76706.2600784685,9292.47381126727,8.36915353
"86","mhs","Random",2,1e+06,"mhs_random_2_1000000",50,2192138873.63,6.9983336211,11966,1.23652281,50.5,0.99564372303,59375.57,59116.0100763719,24009.0880329171,2.47304562
"87","mhs","Random",2,1.6e+07,"mhs_random_2_16000000",50,2134004436.98,7.1091355853,11970,16.60367884,50.5,0.96244928302,151030.78,145492.739792636,4548.11194119676,33.20735768
"88","mhs","Random",2,2e+06,"mhs_random_2_2000000",50,2220530610.88,7.0035980704,11967,2.46253554,50.5,0.99409771557,133017.81,132246.149652389,27008.3025888024,4.92507108
"89","mhs","Random",2,4e+06,"mhs_random_2_4000000",50,2187888675.26,7.0159696675,11968,4.56170922,50.5,0.99060541213,136624.1,135405.779937609,14975.0996184715,9.12341844
"90","mhs","Random",2,8e+06,"mhs_random_2_8000000",50,2096299339.91,7.0509402749,11969,8.52100443,50.5,0.98011811615,141429.11,138784.609872365,8298.85204038088,17.04200886
"91","mhs","Random",3,1e+06,"mhs_random_3_1000000",50,2082306061.7,6.9990859937,11971,1.32490214,50.5,0.99559388698,94194.17,93780.6399208569,23698.3968239848,3.97470642
"92","mhs","Random",3,1.6e+07,"mhs_random_3_16000000",50,1902930984.62,7.1232817747,11975,16.84651291,50.5,0.9585644001,218881.63,210042.739999312,4330.89884672954,50.53953873
"93","mhs","Random",3,2e+06,"mhs_random_3_2000000",50,2428874759.3,7.0033556798,11972,2.72042224,50.5,0.99432990247,188502.58,187448.520343925,23097.2208686742,8.16126672
"94","mhs","Random",3,4e+06,"mhs_random_3_4000000",50,1995688824.36,7.0189777619,11973,4.71992354,50.5,0.98981795249,195652.83,193760.110277842,13817.5140862557,14.15977062
"95","mhs","Random",3,8e+06,"mhs_random_3_8000000",50,2301795991.89,7.0505462027,11974,8.74749943,50.5,0.98026140634,201833.99,198080.13980819,7691.11186631614,26.24249829
"96","mhs","Random",4,1e+06,"mhs_random_4_1000000",50,2194743498.79,6.9992152644,11976,1.3942738,50.5,0.99589291693,122659.47,122152.879931431,21993.433068885,5.5770952
"97","mhs","Random",4,1.6e+07,"mhs_random_4_16000000",50,2128571097.9,7.1169283105,11980,17.10054969,50.5,0.96060322282,280952.82,270239.960215106,4107.3653346403,68.40219876
"98","mhs","Random",4,2e+06,"mhs_random_4_2000000",50,1945061609.48,7.0039805458,11977,2.92393352,50.5,0.99461722436,244194.11,242904.82951408,20878.9040798711,11.69573408
"99","mhs","Random",4,4e+06,"mhs_random_4_4000000",50,2110538146.92,7.0170762441,11978,4.95022731,50.5,0.99090253356,252227.46,250023.400179868,12738.1756535944,19.80090924
"100","mhs","Random",4,8e+06,"mhs_random_4_8000000",50,1965569796.74,7.0497411823,11979,8.98032175,50.5,0.98116124096,260700.18,256027.179800751,7257.54007644548,35.921287
"101","mhs","Random",5,1e+06,"mhs_random_5_1000000",50,2049417701.91,6.9991008094,11981,1.51737596,50.5,0.99587689341,147793.67,147184.190272211,19480.1649552956,7.5868798
"102","mhs","Random",5,1.6e+07,"mhs_random_5_16000000",50,2452648299.63,7.1097849324,11985,17.29860141,50.5,0.96255422228,348825.02,336136.690499241,4032.98523079849,86.49300705
"103","mhs","Random",5,2e+06,"mhs_random_5_2000000",50,2023662289.32,7.0038645171,11982,3.08016425,50.5,0.99462003056,305035.52,303437.589508084,19806.4450621424,15.40082125
"104","mhs","Random",5,4e+06,"mhs_random_5_4000000",50,2013829202.84,7.0178005461,11983,5.11357476,50.5,0.99059184673,316176.56,313342.599992895,12366.1655432608,25.5678738
"105","mhs","Random",5,8e+06,"mhs_random_5_8000000",50,2253932168.12,7.0483115441,11984,9.18525764,50.5,0.98144733489,325880.28,320129.170305963,7095.7243176469,45.9262882
"106","mhs","Random",6,1e+06,"mhs_random_6_1000000",50,2280923892.83,6.9992147636,11986,1.63800812,50.5,0.99599594474,185122.64,184379.619403019,18836.1540804409,9.82804872
"107","mhs","Random",6,1.6e+07,"mhs_random_6_16000000",50,2177682990.96,7.1068444349,11990,17.46986364,50.5,0.96389178575,407083.1,392912.570418347,3883.66988612244,104.81918184
"108","mhs","Random",6,2e+06,"mhs_random_6_2000000",50,2115710258,7.0031985522,11987,3.28974771,50.5,0.99492681205,354362.87,352586.110496558,17952.8898686682,19.73848626
"109","mhs","Random",6,4e+06,"mhs_random_6_4000000",50,2257922672.65,7.0165957164,11988,5.33907862,50.5,0.99112766267,370489.46,367327.050231389,11565.3369669491,32.03447172
"110","mhs","Random",6,8e+06,"mhs_random_6_8000000",50,2265877551.81,7.0456980853,11989,9.37684338,50.5,0.98238629939,381255.86,374870.630003269,6776.54950160139,56.26106028
"111","mhs","Random",7,1e+06,"mhs_random_7_1000000",50,2085461223.08,6.9992893074,11991,1.71777118,50.5,0.9958490872,194790.62,193987.409646606,16199.6147988531,12.02439826
"112","mhs","Random",7,1.6e+07,"mhs_random_7_16000000",50,2052947171.26,7.1054385423,11995,17.76318542,50.5,0.96405298172,476677.1,459954.111495548,3833.58766805175,124.34229794
"113","mhs","Random",7,2e+06,"mhs_random_7_2000000",50,2164662226.78,7.0037237693,11992,3.47256516,50.5,0.99469179213,417324.4,415126.070588765,17168.2225333884,24.30795612
"114","mhs","Random",7,4e+06,"mhs_random_7_4000000",50,1967970080.11,7.01667665,11993,5.51851276,50.5,0.9910004652,433425.96,429628.059850917,11220.050940992,38.62958932
"115","mhs","Random",7,8e+06,"mhs_random_7_8000000",50,2058391913.98,7.0461311005,11994,9.60724188,50.5,0.98216262278,447095.75,439376.400481263,6648.19541616157,67.25069316
"116","mhs","Random",8,1e+06,"mhs_random_8_1000000",50,2185291649.89,7.000450654,11996,1.83223842,50.5,0.99612401124,243175.9,242232.8602304,16590.0830198725,14.65790736
"117","mhs","Random",8,1.6e+07,"mhs_random_8_16000000",50,2026631794.88,7.1205463171,12000,17.85415893,50.5,0.96140777824,513547.84,494323.339528788,3595.43567701399,142.83327144
"118","mhs","Random",8,2e+06,"mhs_random_8_2000000",50,2346392210,7.0049289888,11997,3.59871636,50.5,0.99488254902,440663.66,438443.179660581,15306.2792367443,28.78973088
"119","mhs","Random",8,4e+06,"mhs_random_8_4000000",50,2025297378.33,7.0208239457,11998,5.63264202,50.5,0.99050344409,462269.23,458045.570668139,10258.7122605743,45.06113616
"120","mhs","Random",8,8e+06,"mhs_random_8_8000000",50,2228071832.92,7.0544061942,11999,9.73753188,50.5,0.9808196038,477935.4,469159.857754162,6135.22253238569,77.90025504
